id,name,description,deck
1,Command & Conquer,"Welcome to the New World Order. A gritty high tech world where the art of electronic intelligence and covert surveillance reigns supreme. Where guerrilla strategies and savage combat are the norm. Build bases, muster forces and lacerate your enemies to the bone. All for the love of power. In the hyper-real combat experience of Command & Conquer, you're thrust into the heat of an all out race for global control. Will you side with the humanistic GDI or bring the world to its knees with the Brotherhood of Nod? Decide fast. Your adversaries are without mercy. And so are you.",Overall Command & Conquer is a great strategy game and easily the best available on the PlayStation.
3,The Dig,From the combined talents of LucasArts and legendary filmmaker Steven Spielberg comes an epic adventure that plunges headlong into the very core of the unknown.  And takes you with it.,"In almost every sense, The Dig represents a leap backwards from LucasArts' previous group of adventure games."
6,Star Wars Rebel Assault II: The Hidden Empire,"A LONG TIME AGO IN A GALAXY FAR, FAR AWAY... This completely original chapter in the Star Wars saga offers breakthrough technology in graphics and an entirely new storyline. Experience the most exhilarating and interactive space combat in this or any galaxy.","Rebel Assault II  will be enough to satisfy those seeking a worthwhile multimedia ""experience,"" but the limited gameplay will send hard-core gamers running back to Tie Fighter."
7,Shannara,"Brona's evil spirit has come back to wreak revenge upon those who killed him. Now, only the combined magic of the races can destroy him.  You are Jak Ohmsford. Only you can overcome the ancestral hatreds that divide the Four Lands, and only you can wield the magic that will defeat Brona. It is your destiny to save your homeland - but the price of destiny is far higher than you could have ever imagined.","Shannara is an excellent pick for novice users or fans of Mr. Brooks, but experienced players should probably keep looking."
10,Quake,"From the creators of DOOM and DOOM II comes the most intense, technologically advanced 3-D experience ever captured on CD ROM. Features free and fluid motion, ambient sound and lighting, and unmatched multi-player capabilities.","If you're into action games, or even if you're not, you should be playing Quake right now - it's as good as PC gaming gets."
12,Earthworm Jim,"Jim wasn't always a studly super-worm. He was once just a spineless, dirt eater with no real mission in life... Then a cosmic twist of fate placed him in control of an ultra-high-tech-indestructible-super-space-cyber-suit. Now Jim must make it to Princess-What's-Her-Name by staying clear of Psy-Crow, the intergalactic bounty hunter, until the final battle with Queen Slug-for-a-Butt.","It's a video game, it's a cartoon, it's a toy, it's a lunch box, and now it's a PC CD-ROM game."
14,Outlaws,"The Most Dangerous Man is the One with Nothing Left to Lose. When outlaws murdered your wife, and took your daughter, everything you had was gone. Your gut aches for blood and sweet revenge. Dyin's too good for 'em now. Ride back into the wild west as the gun-slinging Marshall James Anderson. You'll encounter a dusty town, an abandoned mine, a runaway train, and the orneriest cowpokes this side of the Mississippi as you uncover a twisted plot of greed and corruption. With weapons like your six-shooting .45, your .44 rifle, your 10-gauge shotgun and your good ol' sawed off 12-gauge, you'll be packin' plenty of fire power. Nothing warms the heart of a cold-blooded killer like hot lead. It's Payback Time. - Three Game Variations--Spaghetti Western Shooter, Bounty Hunter Action & Multiplayer Shootouts. - Challenges the wit as well the trigger finger--Shooting the civilians may leave you swinging from a rope. - Multiplayer games--Supports 2 to 8 players over modem, network or Internet. Form your own gang and hit the trail.","From the opening level, you'll know you're in for a movie-worthy experience."
15,Diablo,"Diablo invites you to enter a world of dark gothic fantasy. Play as a brave warrior, cunning rogue, or mysterious sorcerer. As you venture deeper into the labyrinth, you'll discover weapons, armor, and magical treasures; you will also develop your character's skills and abilities. You might want to bring a friend or two to help--built-in support for Battle.net, as well as modem, serial, and network play, ensures that you'll never have to go in alone.","Diablo is the best game to come out in the past year, and you should own a copy. Period."
16,Star Wars: Dark Forces,"Behind a veil of secrecy the evil Empire is creating a doomsday army - one that, if finished, will become the final cog in the Empire's arsenal of terror and domination.    Your Mission?    Join the Rebel Alliance's covert operations division, infiltrate the Empire, then battle every man and machine the Imperial Forces can muster. Search a vast galaxy for clues, attack enemy bases - all in a desperate attempt to stop the activation of this fearsome new weapon.    It's you and your blaster against an entire Empire.    May the Force be with you.","To its credit, Dark Forces is a good game that doesn't ""play itself"" like the Rebel Assault games do."
19,Risk,"Now you can play anyone, anytime, anywhere with Risk, the game of global domination. Using the same hands-on military planning found in the original Risk board game, players now see battles come to life. With each battle comes the chance for victory and advice from historic military leaders as you earn medals and special bonus content for strategic accomplishments. This product will deliver a truly unique way to play the Risk game and provide an ideal social experience for up to six players in multiplayer mode and online.",The best computerized version of Risk yet.
20,Starcraft,"In the distant future, a small group of human exiles have been doomed to fight for survival on the edge of the galaxy. Planet resources begin to run short, and three unique species--Terran, Protoss, and Zerg--engage in intergalactic warfare. As the military leader for your species, you must gather the resources you need to train and expand your forces and lead them to victory across three different campaigns. Each species has unique units, technologies, attributes, and abilities--all of which you'll need to master for control of the galaxy.","It doesn't stray far from the blueprint created by its predecessors, but it is, without a doubt, the best game to ever adhere to that formula."
21,Master of Orion 3,"No longer do you represent mere interplanetary dictators. In Master of Orion 3, you become the controlling force behind an entire galactic civilization. You'll explore solar systems, complete with jump lanes, wormholes, and hostile alien races, and take part in large battles. Crush your enemies with oppressive force or negotiate to scheme your way to the top. It is not enough to be an able economist or a great captain to succeed. Political, administrative, and espionage skills must be applied to craft your civilization's glorious chapter in the annals of time and space to claim the rightful title of Master of Orion.",Master of Orion III is a disappointing follow-up to the two most significant space empire games ever.
22,Tomb Raider (1996),"Climb, swim, and backflip your way through a maze of cryptic deathtraps so realistic you can practically smell the decaying flesh. Unload an arsenal of lethal firepower on any wild-dog, giant lizard or blood-thirsty mercenary that gets in your way.  Your mission is the deadliest one to date -- the recovery of the fabled Scion, an incredible treasure reputed to give its possessor vast power. Get ready to cross the globe to take on impossible odds while exploring Incan ruins, Ancient Rome, Egyptian Pyramids, and the Lost City of Atlantis...","Tomb Raider is simply a smart game, bursting with great touches."
23,The Curse of Monkey Island,"I've sailed the seas from Trinidad to Tortuga and I've never seen anything like it! The engagement ring I gave Elaine has a terrible pirate curse on it. LeChuck is behind it, I'm sure. I should have known that nothing good could come out of that evil zombie's treasures. And if that's not bad enough, the clairvoyant I met in the mangrove swamp told me that if I am to break the curse and save Elaine, I will have to die!  -Excerpted from ""The Memoirs of Guybrush Threepwood: The Monkey Island Years""  - Third in the legendary Monkey Island series of graphic adventures  - Film quality animation, voice, sound and music--the undead come to life before your very eyes!  - Incredible high-resolution (640 x 480) graphics!  - A barrel of gameplay--estimated 30-plus hours!  - Two difficulty settings: regular and Mega-Monkey (now with more puzzley goodness)!  - New and improved insults suitable for swordfights and other fun occasions!","Like its predecessors, The Curse of Monkey Island has all the makings of a classic."
24,Interstate '76,"It's 1976... a different '76. Stretched out before you are thousands of miles of desert -- the American Southwest. The massive engine roars as you slam down the accelerator. It's time to get funked up...    You are Groove Champion, auto-vigilante. Your agenda: Payback for your dead sister. Your weapon: A 425-horsepower '72 Picard Piranha with two 50-caliber M60 machine gun on top and a flame-thrower on the side. You're one mean dude with an even meaner ride.    They've messed with the wrong Champion.",Interstate '76 is an incredible gaming experience and offers countless hours of enjoyment for those who are willing to face up to its challenge.
26,The Elder Scrolls: Chapter II - Daggerfall,"The Elder Scrolls: Daggerfall is the second chapter in the highly acclaimed Elder Scrolls role-playing series. Its predecessor, TES: Arena, won over twenty Best Role Playing Game of the Year awards and set a new level for computer role playing. TES: Daggerfall is the most ambitious CRPG ever created and surpasses the high standard set in Arena.    Daggerfall offers you an opportunity to adventure in total freedom within a world where your destiny is of your own making and consequence evolves from your decisions. A world of love and darkness, magic and sorcery. Whether you choose to follow a quest or to venture out alone, you will interact with thousands of people as you travel across an expansive land in a time of fantasy and imagination.",Someone has finally returned to the RPGs of the old school and created an adventure that will take even the most experienced gamer months to unravel.
27,Chronicles of the Sword,"As Sir Gawain, a heroic knight of the Round Table, you must be quick to uncover the plot of the wicked sorceress Morgara. Defeat here before she drives Camelot from peace and prosperity into ruin!",Chronicles of the Sword takes a classic approach to a classic story&#151;and manages to accomplish very little in the process.
35,Redneck Rampage,"A Butt-Kickin', Gun-Totin', 3D Romp Through Hickston, U.S.A.  Dang them aliens!  They dun swiped yer bacon!  - Ten brutal weapons includin' crowbars, dynamite, double-barreled shotguns, ripsaw blades, and an alien arm gun (yank the tendon to fire)  - Gin-u-wine Redneck dialogue and humor  - 14 levels of SVGA Graphics featurin' Mortuaries, Chicken Processing Plants, Trailer Parks, and loads more fightin' locations!  - Gas up with pork rinds, cowpies and sauce-a-plenty  - 8 player multi-redneck, deathmatch action and modem play  - Toe tappin', butt stompin' soundtrack featurin' Mojo Nixon, The Reverend Horton Heat, and Cement Pond!  - Hostile alien Hulk Guards, Turd Minions and Vixens, plus alien clones of local town folks includin' Sheriff Hobbes, the Skinny Old Coot, and Billy Ray Jeter","Though the tabloid alien-abduction plot feels a bit dated, there's more than enough splatter and gags to compensate."
37,X-COM: Apocalypse,"Earth has been ravaged by human excess, petty conflict and alien invasion. The world's population has been herded into huge cities, the first of which was Mega Primus.  2084: A Utopia shattered, social collapse and civil unrest reigns in Mega Primus. Fiendish aliens terrorize the city. UFOs swarm through Dimensional Gateways. The city's under siege from an unknown enemy.  Your mission, as X-COM Commander, is to combat alien aggression and uncover their deadly intentions. But Beware! Alien infiltration into the city and its politics could see you under fire from criminal gangs, religious sects, and even the police!",This is almost the X-COM sequel that folks have been hoping for.
39,Star Wars Jedi Knight: Dark Forces II,"Dark Forces set the industry standard for first person action in the Star Wars universe. Now Jedi Knight: Dark Forces II picks up where the award-winning game left off...with even more features and firepower in dazzling 3D graphics. As Kyle Katarn, you must acquire the lightsaber and learn the ways of the Force to become a Jedi Knight. Confront old foes... Greedo, Boosk, stormtroopers. And new enemies... seven dark Jedi who plan to harness the power of an ancient burial ground for unsurpassed evil. But take heart, your 10 weapon arsenal and over 12 Force powers make you a force to be reckoned with.",Arguably the best single-player first-person shooter since Doom.
40,Riven: The Sequel to Myst,Enter a deceptively beautiful world torn apart by age-old conflicts... where secrets lie hidden at every turn... and nothing is as it seems. You must search. You must explore. You must summon every spark of intellect and intuition. Only then will you learn the truth about this troubled land and its inhabitants. You must let Riven become you world - before an entire world is lost.,"It's a leisurely paced, all-encompassing, mentally challenging experience. If you enjoyed Myst, you'll thoroughly enjoy Riven."
44,Star Wars: Yoda Stories,"Grab your lightsaber and get ready for terrific Star Wars adventuring in Yoda Stories, the newest in a series of easy-to-play Desktop Adventures from LucasArts. Join Luke Skywalker as he trains to become a Jedi with Yoda, then harness the Force and cross the galaxy to meet exotic aliens, collect stange devices and weapons and deal the Galactic Empire one crippling blow after another - all within an hour!","In Yoda Stories, you assume the role of young Luke Skywalker, Jedi junior varsity and errand boy for Yoda."
