id,name,description,deck
1,Command Conquer,high tech world art electronic intelligence covert surveillance guerrilla savage combat norm muster bone love power hyper-real combat experience thrust heat race global control humanistic world,Overall great strategy game available PlayStation
3,The Dig,legendary filmmaker adventure core unknown,sense previous group adventure
6,Star Wars Rebel Assault II The Hidden Empire,original chapter technology new storyline interactive space combat galaxy,worthwhile multimedia experience hard-core
7,Shannara,evil spirit revenge magic ancestral magic destiny homeland price destiny,excellent pick novice
10,Quake,intense -D experience free fluid motion ambient sound unmatched multi-player,action good PC
12,Earthworm Jim,super-worm spineless dirt eater real mission life cosmic twist fate control ultra-high-tech-indestructible-super-space-cyber-suit clear intergalactic bounty final battle,video game cartoon toy lunch box PC game
14,Outlaws,Dangerous outlaws wife daughter everything gut blood sweet revenge good wild gun-slinging dusty town mine runaway train side plot greed corruption six-shooting -gauge shotgun good ol plenty fire power heart cold-blooded killer hot wit trigger finger rope modem network own gang trail,level movie-worthy experience
15,Diablo,world dark gothic fantasy warrior rogue mysterious sorcerer venture labyrinth magical character built-in support net modem serial network play,game year copy
16,Star Wars Dark Forces,veil secrecy doomsday final cog arsenal terror domination covert division battle man machine vast galaxy enemy desperate attempt activation new blaster entire Empire,credit good game
19,Risk,anyone game global domination same hands-on military planning original board game life battle chance victory advice historic military special bonus content strategic product unique way game ideal social experience multiplayer mode online,version
20,Starcraft,distant future small group human survival edge galaxy unique engage intergalactic warfare military leader different unique control galaxy,blueprint doubt game formula
21,Master of Orion ,interplanetary force entire galactic civilization solar complete jump hostile alien part large oppressive force negotiate way top able economist great captain administrative espionage civilization glorious chapter time space rightful title,Master follow-up significant space empire
22,Tomb Raider ,swim way cryptic realistic decaying flesh arsenal lethal wild-dog giant lizard blood-thirsty mercenary way mission date recovery incredible treasure possessor vast power ready globe impossible Incan Egyptian,smart game great
23,The Curse of Monkey Island,anything engagement terrible pirate curse sure nothing good evil zombie bad clairvoyant mangrove swamp curse legendary series graphic quality animation voice sound music undead life Incredible high-resolution x barrel gameplay difficulty regular puzzley goodness suitable other fun,classic
24,Interstate ' ,different desert American massive engine accelerator time auto-vigilante agenda dead weapon machine gun top flame-thrower side mean dude ride wrong Champion,incredible experience countless enjoyment willing challenge
26,The Elder Scrolls Chapter II - Daggerfall,second chapter role-playing series predecessor new level computer role ambitious high standard opportunity total freedom world destiny own consequence world love darkness magic sorcery venture expansive land time fantasy imagination,Someone old school adventure gamer
27,Chronicles of the Sword,heroic quick plot sorceress peace prosperity ruin,classic approach classic story little process
35,Redneck Rampage,yer bacon brutal double-barreled alien arm gun dialogue humor featurin fightin pork sauce-a-plenty player multi-redneck deathmatch action modem tappin butt stompin soundtrack featurin alien alien local town,tabloid alien-abduction plot bit dated splatter
37,X-COM Apocalypse,human excess petty conflict alien invasion world population huge first social collapse civil unrest city swarm city unknown enemy mission alien aggression deadly infiltration city fire criminal religious police,X-COM sequel
39,Star Wars Jedi Knight Dark Forces II,industry standard person action award-winning game firepower old new dark power ancient burial ground evil heart arsenal force,single-player first-person shooter Doom
40,Riven The Sequel to Myst,beautiful world age-old turn nothing spark intellect intuition truth land world entire world,paced all-encompassing experience
44,Star Wars Yoda Stories,ready terrific series easy-to-play galaxy exotic stange hour,role young junior varsity boy
46,Hexen II,lurk root evil last know dark Hell-spawned attempt ravenous onslaught,blow throne
49, D Lemmings,world famous world own confused rate new fat round help new last huge hilarious game steer,addictive gameplay numerous cute little must-buy
50,Flight Unlimited II,virtual aviation world other flight different square skill test variable weather sky air traffic unique spine-tingling realistic flight simulation,globe-spanning sweep own little corner world admirable fidelity
52,Tomb Raider II,unstoppable complete classic gameplay game year Xian power dragon beware search danger cult plot mountain bottom sea,cosmetic
53,Deathtrap Dungeon,macabre devilish realm bloody end fire-breathing serpent variety dynamic few battle tortuous multi-million selling book series ultimate dungeon hack slash thriller,third-person perspective camera
55,Croc Legend of the Gobbos,crocodile rescue peace-loving grasp evil magician beautifully-rendered world free-roaming adventure devilish,potential
62,Boggle CDROM,exciting game clock high-scoring jumble letter new out-of-this-world action tactical challenge action explosive sound addictive word search unique fun -minute word computer dictionary reference quick word,fun game ta online
64,Half-Life,missile base top-secret experiment wrong military death squad everything sight young research associate alive way monster-ridden security clearance variety crowbar rocket split-screen deathmatch exclusive single-player multiplayer cooperative action experience other,thing revolutionary step genre
69,Quest For Glory V Dragon Fire,role-playing pulse-pounding real-time action realm journey fraught peril mystery right ready mind-bending story full plot mythological paranormal fire breathing,few patience series game old last adventure
71,Oddworld Abe's Oddysee,lush diabolical danger everyone skinny guy jump hide scramble way bunch carnivorous special race dinner surreal sensory overload pure destiny,action puzzle
75, I Hunter Killer,realistic submarine simulation sonar real target boat tour duty true submariner,last long wait worthy nuclear submarine simulation
83,Worms ,bizarre cartoon world havoc addictive game revenge mean-minded cruelty frenetic fun share experience wage,simple basic control structure game anyone
84,Frogger ,tough frog lazy spring home safety busy highway river safety home danger safe tricky frog-eating hop jaw hungry,enjoyable title
87,Grim Fandango,sucker luxury four-year journey eternal rest trouble paradise conspiracy salvation,addition good adventure game great beautiful art direction
90,Sanitarium,Sanitarium point-and-click psychological-horror adventure game player bizarre medieval-styled asylum amnesia car accident creepy place game player journey asylum mad-man mature story horror-adventure time,entire game journey own madness potential salvation
