id,gamespot_id,title,documents
0,1,Command & Conquer,"Welcome to the New World Order. A gritty high tech world where the art of electronic intelligence and covert surveillance reigns supreme. Where guerrilla strategies and savage combat are the norm. Build bases, muster forces and lacerate your enemies to the bone. All for the love of power. In the hyper-real combat experience of Command & Conquer, you're thrust into the heat of an all out race for global control. Will you side with the humanistic GDI or bring the world to its knees with the Brotherhood of Nod? Decide fast. Your adversaries are without mercy. And so are you.::Overall Command & Conquer is a great strategy game and easily the best available on the PlayStation."
1,3,The Dig,"From the combined talents of LucasArts and legendary filmmaker Steven Spielberg comes an epic adventure that plunges headlong into the very core of the unknown.  And takes you with it.::In almost every sense, The Dig represents a leap backwards from LucasArts' previous group of adventure games."
2,6,Star Wars Rebel Assault II: The Hidden Empire,"A LONG TIME AGO IN A GALAXY FAR, FAR AWAY... This completely original chapter in the Star Wars saga offers breakthrough technology in graphics and an entirely new storyline. Experience the most exhilarating and interactive space combat in this or any galaxy.::Rebel Assault II  will be enough to satisfy those seeking a worthwhile multimedia ""experience,"" but the limited gameplay will send hard-core gamers running back to Tie Fighter."
3,7,Shannara,"Brona's evil spirit has come back to wreak revenge upon those who killed him. Now, only the combined magic of the races can destroy him.
You are Jak Ohmsford. Only you can overcome the ancestral hatreds that divide the Four Lands, and only you can wield the magic that will defeat Brona. It is your destiny to save your homeland - but the price of destiny is far higher than you could have ever imagined.::Shannara is an excellent pick for novice users or fans of Mr. Brooks, but experienced players should probably keep looking."
4,10,Quake,"From the creators of DOOM and DOOM II comes the most intense, technologically advanced 3-D experience ever captured on CD ROM. Features free and fluid motion, ambient sound and lighting, and unmatched multi-player capabilities.::If you're into action games, or even if you're not, you should be playing Quake right now - it's as good as PC gaming gets."
5,12,Earthworm Jim,"Jim wasn't always a studly super-worm. He was once just a spineless, dirt eater with no real mission in life... Then a cosmic twist of fate placed him in control of an ultra-high-tech-indestructible-super-space-cyber-suit. Now Jim must make it to Princess-What's-Her-Name by staying clear of Psy-Crow, the intergalactic bounty hunter, until the final battle with Queen Slug-for-a-Butt.::It's a video game, it's a cartoon, it's a toy, it's a lunch box, and now it's a PC CD-ROM game."
6,14,Outlaws,"The Most Dangerous Man is the One with Nothing Left to Lose.
When outlaws murdered your wife, and took your daughter, everything you had was gone. Your gut aches for blood and sweet revenge. Dyin's too good for 'em now.
Ride back into the wild west as the gun-slinging Marshall James Anderson. You'll encounter a dusty town, an abandoned mine, a runaway train, and the orneriest cowpokes this side of the Mississippi as you uncover a twisted plot of greed and corruption.
With weapons like your six-shooting .45, your .44 rifle, your 10-gauge shotgun and your good ol' sawed off 12-gauge, you'll be packin' plenty of fire power.
Nothing warms the heart of a cold-blooded killer like hot lead.
It's Payback Time.
- Three Game Variations--Spaghetti Western Shooter, Bounty Hunter Action & Multiplayer Shootouts.
- Challenges the wit as well the trigger finger--Shooting the civilians may leave you swinging from a rope.
- Multiplayer games--Supports 2 to 8 players over modem, network or Internet. Form your own gang and hit the trail.::From the opening level, you'll know you're in for a movie-worthy experience."
7,15,Diablo,"Diablo invites you to enter a world of dark gothic fantasy. Play as a brave warrior, cunning rogue, or mysterious sorcerer. As you venture deeper into the labyrinth, you'll discover weapons, armor, and magical treasures; you will also develop your character's skills and abilities. You might want to bring a friend or two to help--built-in support for Battle.net, as well as modem, serial, and network play, ensures that you'll never have to go in alone.::Diablo is the best game to come out in the past year, and you should own a copy. Period."
8,16,Star Wars: Dark Forces,"Behind a veil of secrecy the evil Empire is creating a doomsday army - one that, if finished, will become the final cog in the Empire's arsenal of terror and domination.

Your Mission?

Join the Rebel Alliance's covert operations division, infiltrate the Empire, then battle every man and machine the Imperial Forces can muster. Search a vast galaxy for clues, attack enemy bases - all in a desperate attempt to stop the activation of this fearsome new weapon.

It's you and your blaster against an entire Empire.

May the Force be with you.::To its credit, Dark Forces is a good game that doesn't ""play itself"" like the Rebel Assault games do."
9,19,Risk,"Now you can play anyone, anytime, anywhere with Risk, the game of global domination. Using the same hands-on military planning found in the original Risk board game, players now see battles come to life. With each battle comes the chance for victory and advice from historic military leaders as you earn medals and special bonus content for strategic accomplishments. This product will deliver a truly unique way to play the Risk game and provide an ideal social experience for up to six players in multiplayer mode and online.::The best computerized version of Risk yet."
